,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice
243,2,5600000.0,996.0,"Sodepur, Kolkata North",2,1,North-East,15.0,21.0,0,0,0,0,0,3.0,0,0,5,1,1,0,1,0,0,1,1,0,1,0,0,15.53827733427679
244,3,13500000.0,1288.0,"Jodhpur Park, Kolkata",2,2,Missing,2.0,4.0,0,0,0,0,0,12.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16.41820031748273
245,3,6800000.0,1181.0,"Daksh Dari, Kolkata",2,1,South-East,3.0,4.0,0,0,0,0,0,0.5,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,15.732433317205148
246,3,10500000.0,1170.0,"Patuli, EM Bypass",2,1,South-West,5.0,7.0,0,0,0,0,0,7.5,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,16.166885910365842
247,3,8500000.0,1860.0,"Narendrapur, Kolkata",3,2,South-East,1.0,4.0,0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,15.955576839107596
248,2,5600000.0,1200.0,"Shibpur, Howrah",2,1,South-East,12.0,13.0,0,0,0,0,0,12.5,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,15.53827733427679
249,2,2300000.0,715.0,"Ariadaha, Bara Nagar",1,1,Missing,2.0,3.0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.648420115681892
250,2,4000000.0,835.0,"Nayabad, Kolkata",2,1,North-East,2.0,3.0,0,0,0,0,0,7.5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15.201805169084134
251,1,2000000.0,560.0,"Jawpur, Kolkata",1,1,South-East,5.0,5.0,0,0,0,0,0,7.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14.508658238524095
252,1,2115000.0,470.0,"Jamuna Nagar, EM Bypass",1,1,North-West,3.0,4.0,0,0,0,0,0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.564565843275643
253,2,3200000.0,650.0,"Patipukur, South Dumdum",2,2,Missing,1.0,2.0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269907
254,1,2200000.0,556.0,"Patuli, EM Bypass",1,1,West,,,0,0,0,0,0,12.5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14.603968372873895
255,3,5800000.0,1039.0,"Serampore, Hooghly",2,1,South,17.0,29.0,0,0,0,0,0,0.5,2,0,6,1,0,0,0,0,0,0,1,1,1,0,0,15.573368647930426
256,4,30000000.0,2400.0,"sarat Chatterjee Avenue, Kolkata South",3,0,Missing,1.0,5.0,0,1,0,1,0,7.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.216707972959764
257,3,7350000.0,876.0,"New Town, Kolkata",2,1,South,3.0,4.0,0,0,0,0,0,0.5,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,15.810211007243431
258,2,4500000.0,916.0,"Bara Nagar, Kolkata",2,1,North-East,2.0,4.0,0,0,0,0,0,3.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,15.319588176962746
259,3,6500000.0,1275.0,"Kalikapur, Kolkata",2,1,Missing,1.0,3.0,0,0,0,0,0,12.5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,15.687312888712007
260,3,7300000.0,1315.0,"Saha Para, Fartabad, Garia",2,1,Missing,2.0,4.0,0,0,0,0,0,7.5,2,0,2,1,1,1,0,1,1,1,0,0,1,0,0,15.803385043104912
261,3,4600000.0,987.0,"Barasat, Kolkata North",2,1,North-West,5.0,11.0,0,0,0,0,0,3.0,2,0,4,1,1,0,0,0,0,1,1,0,1,0,0,15.341567078850604
262,3,7500000.0,1510.0,"Kamalgazi, Southern Bypass",2,2,South-West,11.0,12.0,0,0,0,0,0,3.0,2,1,2,1,1,1,0,1,1,1,0,0,1,0,0,15.830413711839864
263,3,12500000.0,1750.0,"Action Area 1, Kolkata",2,2,South-East,2.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,16.341239282272525
264,2,3100000.0,745.0,"Garia, Kolkata",2,1,East,1.0,3.0,0,0,0,0,0,7.5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,14.946912992035967
265,2,3200000.0,675.0,"Kalikapur, Kolkata",2,1,Missing,2.0,6.0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269907
266,2,3200000.0,1260.0,"Hridaypur, Kolkata",2,1,Missing,2.0,4.0,0,0,1,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269907
267,2,2300000.0,780.0,"Agarpara, Panihati",2,1,South,4.0,4.0,0,0,0,0,0,7.5,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,14.648420115681892
268,2,10000000.0,1150.0,"Jessore Road, Kolkata",2,2,North,,,0,0,0,0,0,12.5,2,0,5,1,0,0,1,0,0,1,1,1,1,0,0,16.118095750958314
269,2,2700000.0,900.0,"Jatragachhi, Kolkata East",2,1,South-West,3.0,6.0,0,0,0,0,0,7.5,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0,14.80876270134486
270,3,6000000.0,1171.0,"Behala, Kolkata",2,1,North,4.0,5.0,0,0,0,0,0,3.0,2,0,0,1,1,1,0,1,0,0,0,1,0,0,0,15.607270193858982
271,2,4000000.0,830.0,"Kasba, Kolkata",2,1,Missing,3.0,3.0,0,0,0,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.201805169084134
272,3,11200000.000000002,1460.0,"Patuli, EM Bypass",2,1,South-East,10.0,10.0,0,0,0,0,0,7.5,2,2,5,1,1,0,0,1,1,1,1,1,1,0,0,16.231424425551033
273,3,10800000.0,1152.0,"Patuli, EM Bypass",2,1,South-East,4.0,18.0,0,0,0,0,0,3.0,2,0,7,1,1,1,1,1,1,1,1,1,1,0,0,16.195056784687036
274,2,3600000.0,850.0,"Behala Unique Park, Kolkata",2,1,North,1.0,4.0,0,0,0,0,0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.096444681204078
