Unnamed: 0,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice,Latitude,Longitude
271,2,4000000.0,830.0,"Kasba, Kolkata",2,1,Missing,3.0,3.0,0,0,0,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.201805169084134,22.5044355,88.3721663
272,3,11200000.000000002,1460.0,"Adarsha Nagar, Kolkata",2,1,South-East,10.0,10.0,0,0,0,0,0,7.5,2,2,5,1,1,0,0,1,1,1,1,1,1,0,0,16.231424425551033,22.5008759,88.3739602
273,3,10800000.0,1152.0,"Adarsha Nagar, Kolkata",2,1,South-East,4.0,18.0,0,0,0,0,0,3.0,2,0,7,1,1,1,1,1,1,1,1,1,1,0,0,16.195056784687036,22.5008759,88.3739602
274,2,3600000.0,850.0,"Behala, Kolkata",2,1,North,1.0,4.0,0,0,0,0,0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.096444681204078,22.501572,88.3209435
275,2,4000000.0,850.0,"Bishnupur, Kolkata",2,1,South,1.0,4.0,0,0,0,0,0,3.0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,15.201805169084134,22.4145089,88.2839351
276,2,3690000.0,945.0,"Behala, Kolkata",2,1,Missing,2.0,4.0,0,0,0,0,0,7.5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,15.121137287019383,22.501572,88.3209435
277,3,12500000.0,1359.0,"New Town, Kolkata",2,1,South-East,12.0,12.0,0,0,0,0,0,0.5,2,0,3,1,1,1,0,1,0,1,1,0,1,0,0,16.341239282272525,22.5959131,88.4878653
278,3,6000000.0,1130.0,"Garia, Kolkata",2,1,South-East,3.0,4.0,0,0,0,0,0,12.5,2,0,4,1,1,0,0,1,1,1,1,0,1,0,0,15.607270193858982,22.4727076,88.3977962
279,2,4750000.0,975.0,"Rajarhat, North 24 Parganas",2,2,East,4.0,4.0,0,0,0,0,0,7.5,2,1,2,1,0,1,1,0,1,0,1,1,0,0,0,15.373655386537118,22.6286173,88.44061
280,1,2000000.0,509.0,"Barasat, Kolkata North",1,0,East,3.0,8.0,0,0,0,0,0,7.5,2,1,6,1,1,1,1,1,1,1,0,0,1,0,0,14.508658238524095,22.7240295,88.4889199
