BHK,Price,Area,Bathrooms,Balcony,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,Latitude,Longitude,Floor_Ratio
2,6200000.0,1620.0,2,1,2.0,4.0,0,0,0,0,12.5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,22.4956263,88.398449,0.5
3,14000000.0,1643.0,3,1,7.0,7.0,0,0,0,1,3.0,2,2,5,1,1,1,0,1,1,1,1,1,1,0,0,22.5959131,88.4878653,1.0
3,5500000.0,1427.0,2,1,4.0,4.0,0,0,1,0,12.5,2,2,4,1,1,1,0,0,1,0,1,1,1,0,0,25.7967438,89.5446589,1.0
3,8800000.0,1850.0,2,0,10.0,10.0,0,0,0,0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5932398,88.3441315,1.0
2,11200000.000000002,1195.0,2,1,4.0,4.0,0,0,0,0,12.5,1,1,3,1,1,1,0,1,1,0,1,0,1,0,0,22.498636,88.3453908,1.0
3,7700000.0,812.0,2,1,18.0,27.0,0,0,0,0,-2.42,1,0,3,1,0,0,0,0,0,1,1,0,1,0,0,25.7967438,89.5446589,0.6666666666666666
2,7000000.0,1090.0,2,1,2.0,9.0,0,0,0,0,0.5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,22.6469581,88.343612,0.2222222222222222
3,6100000.0,1500.0,2,2,2.0,5.0,0,0,0,0,7.5,2,1,4,1,1,1,1,1,1,1,1,0,1,0,0,22.6947839,88.4530183,0.4
3,4200000.0,1236.0,2,1,9.0,15.0,0,0,1,0,7.5,2,1,6,1,1,1,1,1,1,0,1,1,1,0,0,22.5440241,88.2696868,0.6
2,9600000.0,926.0,2,2,5.0,6.0,0,0,0,0,3.0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,22.5959131,88.4878653,0.8333333333333334
3,6300000.0,1500.0,2,2,1.0,5.0,0,1,1,0,3.0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,22.5886606,88.2966655,0.2
2,4000000.0,1030.0,2,2,5.0,5.0,0,0,0,0,7.5,2,2,5,1,1,1,0,1,1,0,1,1,1,0,0,22.613274,88.4246327,1.0
2,11500000.0,1075.0,2,1,7.0,15.0,0,0,0,0,12.5,0,2,3,0,1,0,0,1,1,0,0,0,1,0,0,22.5264928,88.3323692,0.4666666666666667
3,7750000.0,1253.0,2,2,3.0,21.0,0,0,0,0,-0.67,2,0,4,1,1,0,1,0,0,1,1,0,1,0,0,22.7001796,88.3791567,0.14285714285714285
3,7000000.0,1306.0,2,2,11.0,12.0,0,1,0,0,3.0,2,1,6,1,0,0,0,0,0,0,1,1,1,0,0,22.501572,88.3209435,0.9166666666666666
2,9200000.0,1291.0,2,1,5.0,10.0,1,1,1,0,3.0,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,22.5822129,88.2798107,0.5
3,15600000.0,2113.0,4,2,11.0,28.0,0,0,0,1,7.5,2,2,7,1,1,1,0,1,1,1,1,1,1,0,0,22.5932398,88.3441315,0.39285714285714285
2,3050000.0,764.0,2,1,2.0,5.0,0,0,0,0,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6286173,88.44061,0.4
3,11000000.0,980.0,2,2,2.0,4.0,0,0,0,0,12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.5946735,88.4054907,0.5
3,5715000.0,1270.0,2,1,3.0,3.0,0,0,1,0,7.5,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,22.477646,88.4399813,1.0
1,4700000.0,550.0,1,0,1.0,3.0,0,0,0,0,12.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22.5133442,88.3527932,0.3333333333333333
3,8000000.0,1000.0,2,1,2.0,4.0,0,0,0,0,7.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,22.5841465,88.3788957,0.5
2,2650000.0,712.0,2,1,8.0,14.0,0,0,0,0,7.5,2,2,2,1,1,1,1,1,1,1,1,0,1,0,0,22.5132661,88.2229919,0.5714285714285714
2,5500000.0,850.0,2,1,3.0,4.0,0,0,0,0,7.5,1,2,0,1,1,1,0,1,1,1,1,0,0,0,0,22.4727076,88.3977962,0.75
2,3500000.0,750.0,2,1,2.0,3.0,0,0,0,0,12.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22.6380124,88.3958929,0.6666666666666666
3,7000000.0,1048.0,2,1,3.0,6.0,0,0,0,0,7.5,2,2,0,1,1,1,0,1,1,0,1,0,0,0,0,22.6286173,88.44061,0.5
3,6000000.0,1750.0,3,2,4.0,4.0,0,0,1,0,12.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,22.7001796,88.3791567,1.0
2,5100000.0,880.0,2,1,2.0,5.0,0,0,0,0,12.5,0,1,5,1,1,0,1,1,1,1,1,0,1,0,0,22.4727076,88.3977962,0.4
4,16000000.0,1995.0,3,1,6.0,6.0,0,0,0,1,7.5,2,2,6,1,1,1,1,1,1,1,1,1,1,0,0,22.5959131,88.4878653,1.0
2,2700000.0,720.0,2,1,2.0,3.0,0,0,0,0,3.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22.4864389,88.2816299,0.6666666666666666
3,7000000.0,1050.0,3,1,1.0,4.0,0,0,0,0,12.5,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,22.506758,88.3817559,0.25
2,3600000.0,850.0,2,1,2.0,4.0,1,0,0,0,7.5,2,2,2,1,0,1,1,0,0,0,0,1,0,0,0,22.501572,88.3209435,0.5
2,3400000.0,720.0,2,1,3.0,5.0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6097509,88.4026439,0.6
2,4600000.0,905.0,2,1,1.0,5.0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4541674,88.4183764,0.2
2,5200000.0,897.0,2,0,12.0,12.0,0,0,0,0,7.5,0,2,3,1,1,1,1,1,0,1,1,0,1,0,0,25.7967438,89.5446589,1.0
3,6200000.0,900.0,2,1,1.0,14.0,0,0,0,0,7.5,0,2,5,1,1,1,1,1,1,0,1,1,1,0,0,22.5932398,88.3441315,0.07142857142857142
2,8000000.0,970.0,2,1,4.0,4.0,0,0,0,0,3.0,2,2,4,1,0,0,0,0,1,0,1,0,1,0,0,22.5959131,88.4878653,1.0
2,4000000.0,750.0,2,1,4.0,4.0,0,0,0,0,3.0,1,2,5,1,1,1,1,1,1,1,1,1,1,0,0,25.7967438,89.5446589,1.0
2,4850000.0,950.0,2,1,2.0,4.0,0,0,0,0,7.5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22.4767859,88.3047986,0.5
3,5100000.0,1220.0,2,2,2.0,4.0,0,0,0,0,0.5,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,22.6375838,88.412158,0.5
3,8000000.0,1215.0,2,1,6.0,11.0,0,0,0,0,3.0,2,0,5,1,1,0,0,0,0,1,0,1,1,0,0,22.4440966,88.3017146,0.5454545454545454
3,8000000.0,1790.0,3,3,8.0,28.0,0,0,0,0,3.0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,22.5440241,88.2696868,0.2857142857142857
3,7500000.0,1353.0,2,1,1.0,5.0,0,0,0,0,3.0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,22.578579,88.3551327,0.2
2,2500000.0,840.0,2,1,3.0,3.0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.8909117,88.3702844,1.0
2,3000000.0,900.0,1,1,3.0,4.0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6546116,88.4249902,0.75
3,5400000.0,1274.0,2,2,2.0,4.0,0,0,0,0,3.0,2,2,7,1,0,1,1,1,1,1,1,1,1,0,0,22.6380124,88.3958929,0.5
3,19000000.0,2079.0,3,2,7.0,18.0,0,0,0,1,12.5,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,22.4727076,88.3977962,0.3888888888888889
2,14000000.0,1235.0,2,1,2.0,5.0,0,0,0,0,3.0,2,1,4,1,1,1,0,1,0,0,1,0,0,0,0,22.5280337,88.3659084,0.4
2,3000000.0,876.0,2,1,2.0,3.0,0,0,0,0,0.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.4541674,88.4183764,0.6666666666666666
3,13000000.0,1660.0,2,1,6.0,12.0,0,0,0,1,7.5,1,2,5,1,1,1,1,1,1,1,1,0,1,0,0,22.6286173,88.44061,0.5
2,4000000.0,1010.0,2,1,2.0,4.0,0,0,0,0,3.0,2,0,2,1,1,1,1,0,0,1,1,0,1,0,0,22.4541674,88.4183764,0.5
2,3000000.0,780.0,1,0,3.0,4.0,0,0,0,0,12.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.613274,88.4246327,0.75
2,2000000.0,712.0,2,1,11.0,14.0,0,1,0,0,3.0,1,1,4,1,1,1,1,1,0,1,1,1,1,0,0,22.5440241,88.2696868,0.7857142857142857
3,8000000.0,1245.0,2,1,2.0,4.0,0,0,0,0,12.5,2,0,5,1,1,1,0,1,0,0,1,1,1,0,0,22.6546116,88.4249902,0.5
2,2300000.0,759.0,2,1,3.0,4.0,0,0,0,0,0.5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,22.6947839,88.4530183,0.75
2,3825000.0,850.0,2,1,2.0,4.0,0,0,1,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5918828,88.281562,0.5
3,6200000.0,1057.0,2,2,2.0,4.0,0,0,0,0,7.5,2,2,6,1,1,0,1,1,1,1,1,1,1,0,1,25.7967438,89.5446589,0.5
3,6500000.0,1220.0,2,1,3.0,3.0,0,0,0,0,12.5,2,1,4,1,0,1,0,1,0,1,0,1,0,0,0,22.4690721,88.3912838,1.0
3,29000000.0,1677.0,3,2,20.0,46.0,0,0,0,0,0.5,0,0,2,1,1,1,1,1,1,1,1,0,1,0,0,22.4956263,88.398449,0.43478260869565216
2,2300000.0,840.0,2,1,1.0,5.0,0,0,0,0,7.5,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,22.7710139,88.3291849,0.2
3,6400000.0,1223.0,2,1,2.0,4.0,0,0,0,0,7.5,2,0,4,0,0,0,0,0,0,0,0,1,1,0,0,25.7967438,89.5446589,0.5
3,8000000.0,1245.0,2,1,2.0,4.0,0,0,0,0,12.5,0,0,4,1,1,0,0,0,0,0,1,0,1,0,0,22.6546116,88.4249902,0.5
3,33000000.0,2081.0,4,2,34.0,46.0,0,0,0,0,0.5,2,0,3,1,0,0,1,0,0,1,1,0,1,0,0,22.4956263,88.398449,0.7391304347826086
2,3900000.0,920.0,2,1,3.0,4.0,0,0,0,0,-0.5,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,22.6947839,88.4530183,0.75
4,13000000.0,1750.0,3,2,3.0,4.0,0,0,0,0,0.5,2,0,2,1,0,0,0,0,0,1,1,0,1,0,0,22.4727076,88.3977962,0.75
2,8600000.0,680.0,2,1,11.0,18.0,0,0,0,0,0.5,0,0,3,1,1,1,1,1,1,1,1,0,1,0,0,22.4690721,88.3912838,0.6111111111111112
2,9000000.0,954.0,2,1,22.0,23.0,0,0,0,0,0.5,1,0,3,1,0,0,1,1,1,0,0,0,1,0,0,25.7967438,89.5446589,0.9565217391304348
2,11500000.0,1068.0,2,1,4.0,16.0,0,0,0,0,12.5,1,0,2,1,1,1,1,1,1,0,1,0,0,0,0,22.5153313,88.3477052,0.25
3,4700000.0,1120.0,2,1,1.0,8.0,0,0,0,0,3.0,2,0,4,1,1,1,0,1,0,1,1,0,1,0,0,22.4727076,88.3977962,0.125
2,4000000.0,805.0,2,1,4.0,4.0,0,0,0,0,7.5,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,22.4727076,88.3977962,1.0
3,30000000.0,2400.0,3,2,1.0,4.0,0,1,0,0,12.5,2,1,3,1,0,1,1,1,0,0,0,1,0,0,0,22.3392659,88.285288,0.25
2,5500000.0,831.0,2,1,10.0,13.0,0,0,0,0,7.5,2,0,2,1,0,0,0,0,1,0,1,1,1,0,0,25.7967438,89.5446589,0.7692307692307693
2,14900000.0,1350.0,2,1,2.0,11.0,0,0,0,0,12.5,2,2,4,1,0,1,1,1,0,0,0,1,0,0,0,22.5276506,88.3673772,0.18181818181818182
2,8000000.0,830.0,2,1,1.0,4.0,0,0,0,0,12.5,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,22.5143251,88.3369583,0.25
4,20000000.0,2000.0,4,3,1.0,10.0,0,0,0,0,12.5,2,2,3,0,1,0,0,1,0,0,0,0,0,0,0,22.5280337,88.3659084,0.1
3,6000000.0,1227.0,2,1,3.0,4.0,0,0,0,0,3.0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,22.477646,88.4399813,0.75
